Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,81.0,1.0,81.0,81.0,0.1,40.60700000000002,0.0,0.0,0.019206762313842773,,,,,,,,,,,,,,,,,,,,,14.74246573002739,11.343197503315725,39.4918043928491,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,124.0,2.0,43.0,124.0,0.1,16.509000000000015,0.0,0.0,4.334094047546387,,,,,,,,,,,,,,,,,,,,,4.164174852275517,5.226818916326211,16.36264941753781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,162.0,3.0,38.0,162.0,0.1,20.80600000000002,0.0,0.0,8.270756244659424,,,,,,,,,,,,,,,,,,,,,6.7255341418327115,7.0591674399805475,20.591592295609285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,208.0,4.0,46.0,208.0,0.1,17.308000000000025,0.0,0.0,13.16881537437439,,,,,,,,,,,,,,,,,,,,,4.376438530322502,5.369085281021222,17.140948583824233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,240.0,5.0,32.0,240.0,0.1,13.905999999999993,0.0,0.0,16.62064266204834,,,,,,,,,,,,,,,,,,,,,3.9921502142309095,4.626836306397429,13.805849085466459,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,337.0,6.0,97.0,337.0,0.1,54.608000000000004,0.0,0.0,26.200856924057007,,,,,,,,,,,,,,,,,,,,,20.980916357011115,16.48882492680468,52.67815474470461,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,373.0,7.0,36.0,373.0,0.1,19.607000000000017,0.0,0.0,29.865246295928955,,,,,,,,,,,,,,,,,,,,,6.333672606507575,6.69796996959537,19.41780397631439,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,400.0,8.0,27.0,400.0,0.1,13.005999999999995,0.0,0.0,32.65035557746887,,,,,,,,,,,,,,,,,,,,,4.041155651726061,4.49888752101293,12.922721317316714,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,451.0,9.0,51.0,451.0,0.1,21.408000000000037,0.0,0.0,37.74845337867737,,,,,,,,,,,,,,,,,,,,,5.643900180773678,6.756692357594193,21.16246485803175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,500.0,10.0,49.0,500.0,0.1,23.108000000000025,0.0,0.0,42.749536991119385,,,,,,,,,,,,,,,,,,,,,6.861118587935,7.399840368102542,22.817417206186352,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,530.0,11.0,30.0,530.0,0.1,14.705999999999994,0.0,0.0,45.83899927139282,,,,,,,,,,,,,,,,,,,,,4.504246782805027,5.061868264277758,14.600058112683104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,552.0,12.0,22.0,552.0,0.1,9.005999999999995,0.0,0.0,48.21099495887756,,,,,,,,,,,,,,,,,,,,,2.5872006113942843,3.1575753799864796,8.967006632808312,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,604.0,13.0,52.0,604.0,0.1,25.40800000000003,0.0,0.0,53.66246485710144,,,,,,,,,,,,,,,,,,,,,7.4139843271635675,8.243030272960594,25.07259292825107,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,652.0,14.0,48.0,652.0,0.1,26.607000000000024,0.0,0.0,58.50551772117615,,,,,,,,,,,,,,,,,,,,,8.447480697869688,8.894487256516252,26.25400267785529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,699.0,15.0,47.0,699.0,0.1,33.105,0.0,0.0,63.29833960533142,,,,,,,,,,,,,,,,,,,,,12.705412449010522,11.128634016816745,32.57295895985726,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,781.0,16.0,82.0,781.0,0.1,34.90600000000003,0.0,0.0,71.396231174469,,,,,,,,,,,,,,,,,,,,,13.512085055313067,9.143518356038914,33.86570657290357,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,809.0,17.0,28.0,809.0,0.1,12.704999999999995,0.0,0.0,74.32058763504028,,,,,,,,,,,,,,,,,,,,,3.8597734182530985,4.298912609074106,12.622158038207294,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,876.0,18.0,67.0,876.0,0.1,36.40600000000001,0.0,0.0,80.95141983032227,,,,,,,,,,,,,,,,,,,,,11.291706165107607,11.713057791879505,35.72086168945501,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,905.0,19.0,29.0,905.0,0.1,14.505999999999995,0.0,0.0,84.05538725852966,,,,,,,,,,,,,,,,,,,,,4.600929022740359,4.980991357841727,14.401361379738631,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,929.0,20.0,24.0,929.0,0.1,10.604999999999995,0.0,0.0,86.63086247444153,,,,,,,,,,,,,,,,,,,,,3.1954264664785406,3.6735312588838047,10.549398011429362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,44.0,1.0,44.0,973.0,0.1,17.00700000000002,0.0,0.0,243.74885511398315,,,,,,,,,,,,,,,,,,,,,4.593873357529279,5.29164521357105,16.838529793325574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,95.0,2.0,51.0,1024.0,0.1,30.107000000000017,0.0,0.0,248.7893362045288,,,,,,,,,,,,,,,,,,,,,10.327340229612956,9.832528400436114,29.63955511897256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,163.0,3.0,68.0,1092.0,0.1,48.20799999999999,0.0,0.0,256.06176924705505,,,,,,,,,,,,,,,,,,,,,18.0813980270844,15.889416256721047,47.07256298757041,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,204.0,4.0,41.0,1133.0,0.1,23.706000000000017,0.0,0.0,260.3581922054291,,,,,,,,,,,,,,,,,,,,,7.970839048519763,7.9875929219053425,23.426024221429326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,277.0,5.0,73.0,1206.0,0.1,51.206,0.0,0.0,267.5277888774872,,,,,,,,,,,,,,,,,,,,,18.942236581966647,16.827006496181617,49.923012832167935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,345.0,6.0,68.0,1274.0,0.1,48.805,0.0,0.0,274.4812743663788,,,,,,,,,,,,,,,,,,,,,18.651744339929856,15.902623525816008,47.63189754808339,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,403.0,7.0,58.0,1332.0,0.1,31.607000000000017,0.0,0.0,280.3763566017151,,,,,,,,,,,,,,,,,,,,,12.007915411563143,9.734225388209651,30.972454843361213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,572.0,8.0,169.0,1501.0,0.1,87.10599999999982,0.0,0.0,297.3371741771698,,,,,,,,,,,,,,,,,,,,,31.58937541577283,23.680846537167312,81.93117597550946,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,610.0,9.0,38.0,1539.0,0.1,17.30700000000002,0.0,0.0,301.35064220428467,,,,,,,,,,,,,,,,,,,,,5.178958767923804,5.639976964426647,17.144471365077692,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
